Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsBeneficial Nature	Lv. 100	250 - 344	302 - 405	236 - 339	137 - 240	236 - 339	49 - 152
Base Stats - Total: 294	Base Stats - Total: 294	69	55	45	55	55	15
Max StatsHindering Nature	Lv. 100	248 - 342	103 - 188	85 - 170	103 - 188	103 - 188	31 - 116
Max StatsNeutral Nature	Lv. 100	248 - 342	115 - 209	95 - 189	115 - 209	115 - 209	35 - 129
Max StatsBeneficial Nature	Lv. 100	248 - 342	126 - 229	104 - 207	126 - 229	126 - 229	38 - 141
Base Stats - Total: 464	Base Stats - Total: 464	114	85	70	85	80	30
Max StatsHindering Nature	Lv. 100	338 - 432	157 - 242	130 - 215	157 - 242	148 - 233	58 - 143
Max StatsNeutral Nature	Lv. 100	338 - 432	175 - 269	145 - 239	175 - 269	165 - 259	65 - 159
Max StatsBeneficial Nature	Lv. 100	338 - 432	192 - 295	159 - 262	192 - 295	181 - 284	71 - 174
Base Stats - Total: 335	Base Stats - Total: 335	55	40	50	65	85	40
Max StatsHindering Nature	Lv. 100	220 - 314	76 - 161	94 - 179	121 - 206	157 - 242	76 - 161
Max StatsNeutral Nature	Lv. 100	220 - 314	85 - 179	105 - 199	135 - 229	175 - 269	85 - 179
Max StatsBeneficial Nature	Lv. 100	220 - 314	93 - 196	115 - 218	148 - 251	192 - 295	93 - 196
Base Stats - Total: 480	Base Stats - Total: 480	100	60	70	85	105	60
Max StatsHindering Nature	Lv. 100	310 - 404	112 - 197	130 - 215	157 - 242	193 - 278	112 - 197
Max StatsNeutral Nature	Lv. 100	310 - 404	125 - 219	145 - 239	175 - 269	215 - 309	125 - 219
Max StatsBeneficial Nature	Lv. 100	310 - 404	137 - 240	159 - 262	192 - 295	236 - 339	137 - 240
Base Stats - Total: 470	Base Stats - Total: 470	165	75	80	40	45	65
Max StatsHindering Nature	Lv. 100	440 - 534	139 - 224	148 - 233	76 - 161	85 - 170	121 - 206
Max StatsNeutral Nature	Lv. 100	440 - 534	155 - 249	165 - 259	85 - 179	95 - 189	135 - 229
Max StatsBeneficial Nature	Lv. 100	440 - 534	170 - 273	181 - 284	93 - 196	104 - 207	148 - 251
Base Stats - Total: 319	Base Stats - Total: 319	50	47	50	57	50	65
Max StatsHindering Nature	Lv. 100	210 - 304	89 - 173	94 - 179	107 - 191	94 - 179	121 - 206
Max StatsNeutral Nature	Lv. 100	210 - 304	99 - 193	105 - 199	119 - 213	105 - 199	135 - 229
Max StatsBeneficial Nature	Lv. 100	210 - 304	108 - 212	115 - 218	130 - 234	115 - 218	148 - 251
Base Stats - Total: 472	Base Stats - Total: 472	70	77	60	97	60	108
Max StatsHindering Nature	Lv. 100	250 - 344	143 - 227	112 - 197	179 - 263	112 - 197	198 - 283
Max StatsNeutral Nature	Lv. 100	250 - 344	159 - 253	125 - 219	199 - 293	125 - 219	221 - 315
Max StatsBeneficial Nature	Lv. 100	250 - 344	174 - 278	137 - 240	218 - 322	137 - 240	243 - 346
Base Stats - Total: 305	Base Stats - Total: 305	44	50	91	24	86	10
Max StatsHindering Nature	Lv. 100	198 - 292	94 - 179	168 - 252	47 - 132	159 - 243	22 - 107
Max StatsNeutral Nature	Lv. 100	198 - 292	105 - 199	187 - 281	53 - 147	177 - 271	25 - 119
Max StatsBeneficial Nature	Lv. 100	198 - 292	115 - 218	205 - 309	58 - 161	194 - 298	27 - 130
Base Stats - Total: 489	Base Stats - Total: 489	74	94	131	54	116	20
Max StatsHindering Nature	Lv. 100	258 - 352	173 - 258	240 - 324	101 - 186	213 - 297	40 - 125
Max StatsNeutral Nature	Lv. 100	258 - 352	193 - 287	267 - 361	113 - 207	237 - 331	45 - 139
Max StatsBeneficial Nature	Lv. 100	258 - 352	212 - 315	293 - 397	124 - 227	260 - 364	49 - 152
Base Stats - Total: 300	Base Stats - Total: 300	40	55	70	45	60	30
Max StatsHindering Nature	Lv. 100	190 - 284	103 - 188	130 - 215	85 - 170	112 - 197	58 - 143
Max StatsNeutral Nature	Lv. 100	190 - 284	115 - 209	145 - 239	95 - 189	125 - 219	65 - 159
Max StatsBeneficial Nature	Lv. 100	190 - 284	126 - 229	159 - 262	104 - 207	137 - 240	71 - 174
Base Stats - Total: 440	Base Stats - Total: 440	60	80	95	70	85	50
Max StatsHindering Nature	Lv. 100	230 - 324	148 - 233	175 - 260	130 - 215	157 - 242	94 - 179
Max StatsNeutral Nature	Lv. 100	230 - 324	165 - 259	195 - 289	145 - 239	175 - 269	105 - 199
Max StatsBeneficial Nature	Lv. 100	230 - 324	181 - 284	214 - 317	159 - 262	192 - 295	115 - 218
Base Stats - Total: 520	Base Stats - Total: 520	60	100	115	70	85	90
Max StatsHindering Nature	Lv. 100	230 - 324	184 - 269	211 - 296	130 - 215	157 - 242	166 - 251
Max StatsNeutral Nature	Lv. 100	230 - 324	205 - 299	235 - 329	145 - 239	175 - 269	185 - 279
Max StatsBeneficial Nature	Lv. 100	230 - 324	225 - 328	258 - 361	159 - 262	192 - 295	203 - 306
Base Stats - Total: 275	Base Stats - Total: 275	35	55	40	45	40	60
Max StatsHindering Nature	Lv. 100	180 - 274	103 - 188	76 - 161	85 - 170	76 - 161	112 - 197
Max StatsNeutral Nature	Lv. 100	180 - 274	115 - 209	85 - 179	95 - 189	85 - 179	125 - 219
Max StatsBeneficial Nature	Lv. 100	180 - 274	126 - 229	93 - 196	104 - 207	93 - 196	137 - 240
Base Stats - Total: 405	Base Stats - Total: 405	65	85	70	75	70	40
Max StatsHindering Nature	Lv. 100	240 - 334	157 - 242	130 - 215	139 - 224	130 - 215	76 - 161
Max StatsNeutral Nature	Lv. 100	240 - 334	175 - 269	145 - 239	155 - 249	145 - 239	85 - 179
Max StatsBeneficial Nature	Lv. 100	240 - 334	192 - 295	159 - 262	170 - 273	159 - 262	93 - 196
Base Stats - Total: 515	Base Stats - Total: 515	85	115	80	105	80	50
Max StatsHindering Nature	Lv. 100	280 - 374	211 - 296	148 - 233	193 - 278	148 - 233	94 - 179
Max StatsNeutral Nature	Lv. 100	280 - 374	235 - 329	165 - 259	215 - 309	165 - 259	105 - 199
Max StatsBeneficial Nature	Lv. 100	280 - 374	258 - 361	181 - 284	236 - 339	181 - 284	115 - 218
Base Stats - Total: 335	Base Stats - Total: 335	55	55	55	85	55	30
Max StatsHindering Nature	Lv. 100	220 - 314	103 - 188	103 - 188	157 - 242	103 - 188	58 - 143
Max StatsNeutral Nature	Lv. 100	220 - 314	115 - 209	115 - 209	175 - 269	115 - 209	65 - 159
Max StatsBeneficial Nature	Lv. 100	220 - 314	126 - 229	126 - 229	192 - 295	126 - 229	71 - 174
Base Stats - Total: 485	Base Stats - Total: 485	75	75	75	125	95	40
Max StatsHindering Nature	Lv. 100	260 - 354	139 - 224	139 - 224	229 - 314	175 - 260	76 - 161
Max StatsNeutral Nature	Lv. 100	260 - 354	155 - 249	155 - 249	255 - 349	195 - 289	85 - 179
Max StatsBeneficial Nature	Lv. 100	260 - 354	170 - 273	170 - 273	280 - 383	214 - 317	93 - 196
Base Stats - Total: 275	Base Stats - Total: 275	50	30	55	65	55	20
Max StatsHindering Nature	Lv. 100	210 - 304	58 - 143	103 - 188	121 - 206	103 - 188	40 - 125
Max StatsNeutral Nature	Lv. 100	210 - 304	65 - 159	115 - 209	135 - 229	115 - 209	45 - 139
Max StatsBeneficial Nature	Lv. 100	210 - 304	71 - 174	126 - 229	148 - 251	126 - 229	49 - 152
Base Stats - Total: 370	Base Stats - Total: 370	60	40	60	95	60	55
Max StatsHindering Nature	Lv. 100	230 - 324	76 - 161	112 - 197	175 - 260	112 - 197	103 - 188
Max StatsNeutral Nature	Lv. 100	230 - 324	85 - 179	125 - 219	195 - 289	125 - 219	115 - 209
Max StatsBeneficial Nature	Lv. 100	230 - 324	93 - 196	137 - 240	214 - 317	137 - 240	126 - 229
Base Stats - Total: 520	Base Stats - Total: 520	60	55	90	145	90	80
Max StatsHindering Nature	Lv. 100	230 - 324	103 - 188	166 - 251	265 - 350	166 - 251	148 - 233
Max StatsNeutral Nature	Lv. 100	230 - 324	115 - 209	185 - 279	295 - 389	185 - 279	165 - 259
Max StatsBeneficial Nature	Lv. 100	230 - 324	126 - 229	203 - 306	324 - 427	203 - 306	181 - 284
Base Stats - Total: 320	Base Stats - Total: 320	46	87	60	30	40	57
Max StatsHindering Nature	Lv. 100	202 - 296	161 - 245	112 - 197	58 - 143	76 - 161	107 - 191
Max StatsNeutral Nature	Lv. 100	202 - 296	179 - 273	125 - 219	65 - 159	85 - 179	119 - 213
Max StatsBeneficial Nature	Lv. 100	202 - 296	196 - 300	137 - 240	71 - 174	93 - 196	130 - 234
Base Stats - Total: 410	Base Stats - Total: 410	66	117	70	40	50	67
Max StatsHindering Nature	Lv. 100	242 - 336	215 - 299	130 - 215	76 - 161	94 - 179	125 - 209
Max StatsNeutral Nature	Lv. 100	242 - 336	239 - 333	145 - 239	85 - 179	105 - 199	139 - 233
Max StatsBeneficial Nature	Lv. 100	242 - 336	262 - 366	159 - 262	93 - 196	115 - 218	152 - 256
Base Stats - Total: 540	Base Stats - Total: 540	76	147	90	60	70	97
Max StatsHindering Nature	Lv. 100	262 - 356	269 - 353	166 - 251	112 - 197	130 - 215	179 - 263
Max StatsNeutral Nature	Lv. 100	262 - 356	299 - 393	185 - 279	125 - 219	145 - 239	199 - 293
Max StatsBeneficial Nature	Lv. 100	262 - 356	328 - 432	203 - 306	137 - 240	159 - 262	218 - 322
Base Stats - Total: 305	Base Stats - Total: 305	55	70	40	60	40	40
Max StatsHindering Nature	Lv. 100	220 - 314	130 - 215	76 - 161	112 - 197	76 - 161	76 - 161
Max StatsNeutral Nature	Lv. 100	220 - 314	145 - 239	85 - 179	125 - 219	85 - 179	85 - 179
Max StatsBeneficial Nature	Lv. 100	220 - 314	159 - 262	93 - 196	137 - 240	93 - 196	93 - 196
Base Stats - Total: 505	Base Stats - Total: 505	95	130	80	70	80	50
Max StatsHindering Nature	Lv. 100	300 - 394	238 - 323	148 - 233	130 - 215	148 - 233	94 - 179
Max StatsNeutral Nature	Lv. 100	300 - 394	265 - 359	165 - 259	145 - 239	165 - 259	105 - 199
Max StatsBeneficial Nature	Lv. 100	300 - 394	291 - 394	181 - 284	159 - 262	181 - 284	115 - 218
Base Stats - Total: 515	Base Stats - Total: 515	80	50	50	95	135	105
Max StatsHindering Nature	Lv. 100	270 - 364	94 - 179	94 - 179	175 - 260	247 - 332	193 - 278
Max StatsNeutral Nature	Lv. 100	270 - 364	105 - 199	105 - 199	195 - 289	275 - 369	215 - 309
Max StatsBeneficial Nature	Lv. 100	270 - 364	115 - 218	115 - 218	214 - 317	302 - 405	236 - 339
Base Stats - Total: 305	Base Stats - Total: 305	50	40	85	40	65	25
Max StatsHindering Nature	Lv. 100	210 - 304	76 - 161	157 - 242	76 - 161	121 - 206	49 - 134
Max StatsNeutral Nature	Lv. 100	210 - 304	85 - 179	175 - 269	85 - 179	135 - 229	55 - 149
Max StatsBeneficial Nature	Lv. 100	210 - 304	93 - 196	192 - 295	93 - 196	148 - 251	60 - 163
Base Stats - Total: 495	Base Stats - Total: 495	80	70	40	100	60	145
Max StatsHindering Nature	Lv. 100	270 - 364	130 - 215	76 - 161	184 - 269	112 - 197	265 - 350
Max StatsNeutral Nature	Lv. 100	270 - 364	145 - 239	85 - 179	205 - 299	125 - 219	295 - 389
Max StatsBeneficial Nature	Lv. 100	270 - 364	159 - 262	93 - 196	225 - 328	137 - 240	324 - 427
Base Stats - Total: 471	Base Stats - Total: 471	109	66	84	81	99	32
Max StatsHindering Nature	Lv. 100	328 - 422	123 - 207	155 - 240	150 - 234	182 - 267	62 - 146
Max StatsNeutral Nature	Lv. 100	328 - 422	137 - 231	173 - 267	167 - 261	203 - 297	69 - 163
Max StatsBeneficial Nature	Lv. 100	328 - 422	150 - 254	190 - 293	183 - 287	223 - 326	75 - 179
Base Stats - Total: 350	Base Stats - Total: 350	45	85	50	55	50	65
Max StatsHindering Nature	Lv. 100	200 - 294	157 - 242	94 - 179	103 - 188	94 - 179	121 - 206
Max StatsNeutral Nature	Lv. 100	200 - 294	175 - 269	105 - 199	115 - 209	105 - 199	135 - 229
Max StatsBeneficial Nature	Lv. 100	200 - 294	192 - 295	115 - 218	126 - 229	115 - 218	148 - 251
Base Stats - Total: 510	Base Stats - Total: 510	65	125	60	95	60	105
Max StatsHindering Nature	Lv. 100	240 - 334	229 - 314	112 - 197	175 - 260	112 - 197	193 - 278
Max StatsNeutral Nature	Lv. 100	240 - 334	255 - 349	125 - 219	195 - 289	125 - 219	215 - 309
Max StatsBeneficial Nature	Lv. 100	240 - 334	280 - 383	137 - 240	214 - 317	137 - 240	236 - 339
Base Stats - Total: 485	Base Stats - Total: 485	77	120	90	60	90	48
Max StatsHindering Nature	Lv. 100	264 - 358	220 - 305	166 - 251	112 - 197	166 - 251	90 - 175
Max StatsNeutral Nature	Lv. 100	264 - 358	245 - 339	185 - 279	125 - 219	185 - 279	101 - 195
Max StatsBeneficial Nature	Lv. 100	264 - 358	269 - 372	203 - 306	137 - 240	203 - 306	111 - 214
Base Stats - Total: 303	Base Stats - Total: 303	59	74	50	35	50	35
Max StatsHindering Nature	Lv. 100	228 - 322	137 - 222	94 - 179	67 - 152	94 - 179	67 - 152
Max StatsNeutral Nature	Lv. 100	228 - 322	153 - 247	105 - 199	75 - 169	105 - 199	75 - 169
Max StatsBeneficial Nature	Lv. 100	228 - 322	168 - 271	115 - 218	82 - 185	115 - 218	82 - 185
Base Stats - Total: 483	Base Stats - Total: 483	89	124	80	55	80	55
Max StatsHindering Nature	Lv. 100	288 - 382	227 - 312	148 - 233	103 - 188	148 - 233	103 - 188
Max StatsNeutral Nature	Lv. 100	288 - 382	253 - 347	165 - 259	115 - 209	165 - 259	115 - 209
Max StatsBeneficial Nature	Lv. 100	288 - 382	278 - 381	181 - 284	126 - 229	181 - 284	126 - 229
Base Stats - Total: 340	Base Stats - Total: 340	45	85	70	40	40	60
Max StatsHindering Nature	Lv. 100	200 - 294	157 - 242	130 - 215	76 - 161	76 - 161	112 - 197
Max StatsNeutral Nature	Lv. 100	200 - 294	175 - 269	145 - 239	85 - 179	85 - 179	125 - 219
Max StatsBeneficial Nature	Lv. 100	200 - 294	192 - 295	159 - 262	93 - 196	93 - 196	137 - 240
Base Stats - Total: 490	Base Stats - Total: 490	65	125	100	60	70	70
Max StatsHindering Nature	Lv. 100	240 - 334	229 - 314	184 - 269	112 - 197	130 - 215	130 - 215
Max StatsNeutral Nature	Lv. 100	240 - 334	255 - 349	205 - 299	125 - 219	145 - 239	145 - 239
Max StatsBeneficial Nature	Lv. 100	240 - 334	280 - 383	225 - 328	137 - 240	159 - 262	159 - 262
Base Stats - Total: 490	Base Stats - Total: 490	95	110	95	40	95	55
Max StatsHindering Nature	Lv. 100	300 - 394	202 - 287	175 - 260	76 - 161	175 - 260	103 - 188
Max StatsNeutral Nature	Lv. 100	300 - 394	225 - 319	195 - 289	85 - 179	195 - 289	115 - 209
Max StatsBeneficial Nature	Lv. 100	300 - 394	247 - 350	214 - 317	93 - 196	214 - 317	126 - 229
Base Stats - Total: 350	Base Stats - Total: 350	70	83	50	37	50	60
Max StatsHindering Nature	Lv. 100	250 - 344	153 - 238	94 - 179	71 - 155	94 - 179	112 - 197
Max StatsNeutral Nature	Lv. 100	250 - 344	171 - 265	105 - 199	79 - 173	105 - 199	125 - 219
Max StatsBeneficial Nature	Lv. 100	250 - 344	188 - 291	115 - 218	86 - 190	115 - 218	137 - 240
Base Stats - Total: 510	Base Stats - Total: 510	100	123	75	57	75	80
Max StatsHindering Nature	Lv. 100	310 - 404	225 - 310	139 - 224	107 - 191	139 - 224	148 - 233
Max StatsNeutral Nature	Lv. 100	310 - 404	251 - 345	155 - 249	119 - 213	155 - 249	165 - 259
Max StatsBeneficial Nature	Lv. 100	310 - 404	276 - 379	170 - 273	130 - 234	170 - 273	181 - 284
Base Stats - Total: 370	Base Stats - Total: 370	70	55	75	45	65	60
Max StatsHindering Nature	Lv. 100	250 - 344	103 - 188	139 - 224	85 - 170	121 - 206	112 - 197
Max StatsNeutral Nature	Lv. 100	250 - 344	115 - 209	155 - 249	95 - 189	135 - 229	125 - 219
Max StatsBeneficial Nature	Lv. 100	250 - 344	126 - 229	170 - 273	104 - 207	148 - 251	137 - 240
Base Stats - Total: 510	Base Stats - Total: 510	110	65	105	55	95	80
Max StatsHindering Nature	Lv. 100	330 - 424	121 - 206	193 - 278	103 - 188	175 - 260	148 - 233
Max StatsNeutral Nature	Lv. 100	330 - 424	135 - 229	215 - 309	115 - 209	195 - 289	165 - 259
Max StatsBeneficial Nature	Lv. 100	330 - 424	148 - 251	236 - 339	126 - 229	214 - 317	181 - 284
Base Stats - Total: 484	Base Stats - Total: 484	85	97	66	105	66	65
Max StatsHindering Nature	Lv. 100	280 - 374	179 - 263	123 - 207	193 - 278	123 - 207	121 - 206
Max StatsNeutral Nature	Lv. 100	280 - 374	199 - 293	137 - 231	215 - 309	137 - 231	135 - 229
Max StatsBeneficial Nature	Lv. 100	280 - 374	218 - 322	150 - 254	236 - 339	150 - 254	148 - 251
Base Stats - Total: 484	Base Stats - Total: 484	58	109	112	48	48	109
Max StatsHindering Nature	Lv. 100	226 - 320	200 - 285	206 - 290	90 - 175	90 - 175	200 - 285
Max StatsNeutral Nature	Lv. 100	226 - 320	223 - 317	229 - 323	101 - 195	101 - 195	223 - 317
Max StatsBeneficial Nature	Lv. 100	226 - 320	245 - 348	251 - 355	111 - 214	111 - 214	245 - 348
Base Stats - Total: 300	Base Stats - Total: 300	52	65	50	45	50	38
Max StatsHindering Nature	Lv. 100	214 - 308	121 - 206	94 - 179	85 - 170	94 - 179	72 - 157
Max StatsNeutral Nature	Lv. 100	214 - 308	135 - 229	105 - 199	95 - 189	105 - 199	81 - 175
Max StatsBeneficial Nature	Lv. 100	214 - 308	148 - 251	115 - 218	104 - 207	115 - 218	89 - 192
Base Stats - Total: 420	Base Stats - Total: 420	72	85	70	65	70	58
Max StatsHindering Nature	Lv. 100	254 - 348	157 - 242	130 - 215	121 - 206	130 - 215	108 - 193
Max StatsNeutral Nature	Lv. 100	254 - 348	175 - 269	145 - 239	135 - 229	145 - 239	121 - 215
Max StatsBeneficial Nature	Lv. 100	254 - 348	192 - 295	159 - 262	148 - 251	159 - 262	133 - 236
Base Stats - Total: 600	Base Stats - Total: 600	92	105	90	125	90	98
Max StatsHindering Nature	Lv. 100	294 - 388	193 - 278	166 - 251	229 - 314	166 - 251	180 - 265
Max StatsNeutral Nature	Lv. 100	294 - 388	215 - 309	185 - 279	255 - 349	185 - 279	201 - 295
Max StatsBeneficial Nature	Lv. 100	294 - 388	236 - 339	203 - 306	280 - 383	203 - 306	221 - 324
Base Stats - Total: 360	Base Stats - Total: 360	55	85	55	50	55	60
Max StatsHindering Nature	Lv. 100	220 - 314	157 - 242	103 - 188	94 - 179	103 - 188	112 - 197
Max StatsNeutral Nature	Lv. 100	220 - 314	175 - 269	115 - 209	105 - 199	115 - 209	125 - 219
Max StatsBeneficial Nature	Lv. 100	220 - 314	192 - 295	126 - 229	115 - 218	126 - 229	137 - 240
Base Stats - Total: 550	Base Stats - Total: 550	85	60	65	135	105	100
Max StatsHindering Nature	Lv. 100	280 - 374	112 - 197	121 - 206	247 - 332	193 - 278	184 - 269
Max StatsNeutral Nature	Lv. 100	280 - 374	125 - 219	135 - 229	275 - 369	215 - 309	205 - 299
Max StatsBeneficial Nature	Lv. 100	280 - 374	137 - 240	148 - 251	302 - 405	236 - 339	225 - 328
Base Stats - Total: 580	Base Stats - Total: 580	91	90	129	90	72	108
Max StatsHindering Nature	Lv. 100	292 - 386	166 - 251	236 - 321	166 - 251	134 - 218	198 - 283
Max StatsNeutral Nature	Lv. 100	292 - 386	185 - 279	263 - 357	185 - 279	149 - 243	221 - 315
Max StatsBeneficial Nature	Lv. 100	292 - 386	203 - 306	289 - 392	203 - 306	163 - 267	243 - 346
Base Stats - Total: 580	Base Stats - Total: 580	91	129	90	72	90	108
Max StatsHindering Nature	Lv. 100	292 - 386	236 - 321	166 - 251	134 - 218	166 - 251	198 - 283
Max StatsNeutral Nature	Lv. 100	292 - 386	263 - 357	185 - 279	149 - 243	185 - 279	221 - 315
Max StatsBeneficial Nature	Lv. 100	292 - 386	289 - 392	203 - 306	163 - 267	203 - 306	243 - 346
Base Stats - Total: 580	Base Stats - Total: 580	91	90	72	90	129	108
Max StatsHindering Nature	Lv. 100	292 - 386	166 - 251	134 - 218	166 - 251	236 - 321	198 - 283
Max StatsNeutral Nature	Lv. 100	292 - 386	185 - 279	149 - 243	185 - 279	263 - 357	221 - 315
Max StatsBeneficial Nature	Lv. 100	292 - 386	203 - 306	163 - 267	203 - 306	289 - 392	243 - 346
Base Stats - Total: 580	Base Stats - Total: 580	79	115	70	125	80	111
Max StatsHindering Nature	Lv. 100	268 - 362	211 - 296	130 - 215	229 - 314	148 - 233	204 - 288
Max StatsNeutral Nature	Lv. 100	268 - 362	235 - 329	145 - 239	255 - 349	165 - 259	227 - 321
Max StatsBeneficial Nature	Lv. 100	268 - 362	258 - 361	159 - 262	280 - 383	181 - 284	249 - 353
Base Stats - Total: 580	Base Stats - Total: 580	79	115	70	125	80	111
Max StatsHindering Nature	Lv. 100	268 - 362	211 - 296	130 - 215	229 - 314	148 - 233	204 - 288
Max StatsNeutral Nature	Lv. 100	268 - 362	235 - 329	145 - 239	255 - 349	165 - 259	227 - 321
Max StatsBeneficial Nature	Lv. 100	268 - 362	258 - 361	159 - 262	280 - 383	181 - 284	249 - 353
Base Stats - Total: 680	Base Stats - Total: 680	100	120	100	150	120	90
Max StatsHindering Nature	Lv. 100	310 - 404	220 - 305	184 - 269	274 - 359	220 - 305	166 - 251
Max StatsNeutral Nature	Lv. 100	310 - 404	245 - 339	205 - 299	305 - 399	245 - 339	185 - 279
Max StatsBeneficial Nature	Lv. 100	310 - 404	269 - 372	225 - 328	335 - 438	269 - 372	203 - 306
Base Stats - Total: 680	Base Stats - Total: 680	100	150	120	120	100	90
Max StatsHindering Nature	Lv. 100	310 - 404	274 - 359	220 - 305	220 - 305	184 - 269	166 - 251
Max StatsNeutral Nature	Lv. 100	310 - 404	305 - 399	245 - 339	245 - 339	205 - 299	185 - 279
Max StatsBeneficial Nature	Lv. 100	310 - 404	335 - 438	269 - 372	269 - 372	225 - 328	203 - 306
Base Stats - Total: 600	Base Stats - Total: 600	89	125	90	115	80	101
Max StatsHindering Nature	Lv. 100	288 - 382	229 - 314	166 - 251	211 - 296	148 - 233	186 - 270
Max StatsNeutral Nature	Lv. 100	288 - 382	255 - 349	185 - 279	235 - 329	165 - 259	207 - 301
Max StatsBeneficial Nature	Lv. 100	288 - 382	280 - 383	203 - 306	258 - 361	181 - 284	227 - 331
Base Stats - Total: 660	Base Stats - Total: 660	125	130	90	130	90	95
Max StatsHindering Nature	Lv. 100	360 - 454	238 - 323	166 - 251	238 - 323	166 - 251	175 - 260
Max StatsNeutral Nature	Lv. 100	360 - 454	265 - 359	185 - 279	265 - 359	185 - 279	195 - 289
Max StatsBeneficial Nature	Lv. 100	360 - 454	291 - 394	203 - 306	291 - 394	203 - 306	214 - 317
Base Stats - Total: 580	Base Stats - Total: 580	91	72	90	129	90	108
Max StatsHindering Nature	Lv. 100	292 - 386	134 - 218	166 - 251	236 - 321	166 - 251	198 - 283
Max StatsNeutral Nature	Lv. 100	292 - 386	149 - 243	185 - 279	263 - 357	185 - 279	221 - 315
Max StatsBeneficial Nature	Lv. 100	292 - 386	163 - 267	203 - 306	289 - 392	203 - 306	243 - 346
Base Stats - Total: 600	Base Stats - Total: 600	100	77	77	128	128	90
Max StatsHindering Nature	Lv. 100	310 - 404	143 - 227	143 - 227	234 - 319	234 - 319	166 - 251
Max StatsNeutral Nature	Lv. 100	310 - 404	159 - 253	159 - 253	261 - 355	261 - 355	185 - 279
Max StatsBeneficial Nature	Lv. 100	310 - 404	174 - 278	174 - 278	287 - 390	287 - 390	203 - 306
Base Stats - Total: 600	Base Stats - Total: 600	71	120	95	120	95	99
Max StatsHindering Nature	Lv. 100	252 - 346	220 - 305	175 - 260	220 - 305	175 - 260	182 - 267
Max StatsNeutral Nature	Lv. 100	252 - 346	245 - 339	195 - 289	245 - 339	195 - 289	203 - 297
Max StatsBeneficial Nature	Lv. 100	252 - 346	269 - 372	214 - 317	269 - 372	214 - 317	223 - 326
Base Stats - Total: 313	Base Stats - Total: 313	56	61	65	48	45	38
Max StatsHindering Nature	Lv. 100	222 - 316	114 - 198	121 - 206	90 - 175	85 - 170	72 - 157
Max StatsNeutral Nature	Lv. 100	222 - 316	127 - 221	135 - 229	101 - 195	95 - 189	81 - 175
Max StatsBeneficial Nature	Lv. 100	222 - 316	139 - 243	148 - 251	111 - 214	104 - 207	89 - 192
Base Stats - Total: 405	Base Stats - Total: 405	61	78	95	56	58	57
Max StatsHindering Nature	Lv. 100	232 - 326	144 - 229	175 - 260	105 - 189	108 - 193	107 - 191
Max StatsNeutral Nature	Lv. 100	232 - 326	161 - 255	195 - 289	117 - 211	121 - 215	119 - 213
Max StatsBeneficial Nature	Lv. 100	232 - 326	177 - 280	214 - 317	128 - 232	133 - 236	130 - 234
Base Stats - Total: 530	Base Stats - Total: 530	88	107	122	74	75	64
Max StatsHindering Nature	Lv. 100	286 - 380	197 - 281	224 - 308	137 - 222	139 - 224	119 - 204
Max StatsNeutral Nature	Lv. 100	286 - 380	219 - 313	249 - 343	153 - 247	155 - 249	133 - 227
Max StatsBeneficial Nature	Lv. 100	286 - 380	240 - 344	273 - 377	168 - 271	170 - 273	146 - 249
Base Stats - Total: 307	Base Stats - Total: 307	40	45	40	62	60	60
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	76 - 161	116 - 200	112 - 197	112 - 197
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	85 - 179	129 - 223	125 - 219	125 - 219
Max StatsBeneficial Nature	Lv. 100	190 - 284	104 - 207	93 - 196	141 - 245	137 - 240	137 - 240
Base Stats - Total: 409	Base Stats - Total: 409	59	59	58	90	70	73
Max StatsHindering Nature	Lv. 100	228 - 322	110 - 195	108 - 193	166 - 251	130 - 215	135 - 220
Max StatsNeutral Nature	Lv. 100	228 - 322	123 - 217	121 - 215	185 - 279	145 - 239	151 - 245
Max StatsBeneficial Nature	Lv. 100	228 - 322	135 - 238	133 - 236	203 - 306	159 - 262	166 - 269
Base Stats - Total: 534	Base Stats - Total: 534	75	69	72	114	100	104
Max StatsHindering Nature	Lv. 100	260 - 354	128 - 213	134 - 218	209 - 294	184 - 269	191 - 276
Max StatsNeutral Nature	Lv. 100	260 - 354	143 - 237	149 - 243	233 - 327	205 - 299	213 - 307
Max StatsBeneficial Nature	Lv. 100	260 - 354	157 - 260	163 - 267	256 - 359	225 - 328	234 - 337
Base Stats - Total: 314	Base Stats - Total: 314	41	56	40	62	44	71
Max StatsHindering Nature	Lv. 100	192 - 286	105 - 189	76 - 161	116 - 200	83 - 168	132 - 216
Max StatsNeutral Nature	Lv. 100	192 - 286	117 - 211	85 - 179	129 - 223	93 - 187	147 - 241
Max StatsBeneficial Nature	Lv. 100	192 - 286	128 - 232	93 - 196	141 - 245	102 - 205	161 - 265
Base Stats - Total: 405	Base Stats - Total: 405	54	63	52	83	56	97
Max StatsHindering Nature	Lv. 100	218 - 312	117 - 202	98 - 182	153 - 238	105 - 189	179 - 263
Max StatsNeutral Nature	Lv. 100	218 - 312	131 - 225	109 - 203	171 - 265	117 - 211	199 - 293
Max StatsBeneficial Nature	Lv. 100	218 - 312	144 - 247	119 - 223	188 - 291	128 - 232	218 - 322
